wavelength,Intensity
903.0043853327318,2362.35
903.2137182761304,2361.75
903.4230094034692,2363.05
903.6322587092003,2362.6
903.8414661877758,2362.7
904.0506318336486,2362.5
904.2597556412705,2362.55
904.4688376050941,2362.65
904.6778777195717,2363.0
904.8868759791552,2362.85
905.0958323782974,2362.5
905.3047469114505,2362.55
905.5136195730668,2362.65
905.7224503575984,2362.35
905.931239259498,2362.9
906.1399862732176,2362.95
906.3486913932097,2363.15
906.5573546139265,2362.9
906.7659759298205,2363.45
906.9745553353437,2363.35
907.1830928249487,2363.45
907.3915883930878,2363.5
907.6000420342131,2363.45
907.808453742777,2363.0
908.016823513232,2363.1
908.2251513400302,2362.85
908.433437217624,2362.65
908.6416811404657,2362.95
908.8498831030076,2363.45
909.0580430997022,2363.1
909.2661611250016,2363.75
909.4742371733581,2363.2
909.6822712392241,2363.7
909.8902633170519,2363.75
910.098213401294,2363.95
910.3061214864023,2364.4
910.5139875668297,2363.65
910.7218116370278,2363.95
910.9295936914493,2363.8
911.1373337245467,2363.5
911.345031730772,2363.3
911.5526877045777,2362.9
911.7603016404161,2363.1
911.9678735327394,2363.65
912.175403376,2363.45
912.3828911646501,2363.75
912.5903368931422,2364.0
912.7977405559286,2364.15
913.0051021474615,2363.75
913.2124216621932,2364.5
913.419699094576,2364.9
913.6269344390626,2364.6
913.8341276901049,2364.6
914.0412788421551,2364.7
914.248387889666,2365.05
914.4554548270895,2364.55
914.6624796488782,2364.75
914.8694623494843,2364.65
915.07640292336,2364.05
915.2833013649577,2364.25
915.4901576687298,2364.15
915.6969718291286,2364.35
915.9037438406062,2364.25
916.1104736976152,2364.2
916.3171613946079,2364.6
916.5238069260366,2364.4
916.7304102863533,2364.2
916.9369714700106,2364.85
917.1434904714608,2364.75
917.3499672851563,2364.95
917.5564019055491,2364.65
917.7627943270918,2364.6
917.9691445442365,2365.25
918.1754525514359,2365.1
918.3817183431421,2364.8
918.5879419138071,2364.75
918.7941232578836,2365.3
919.0002623698238,2365.25
919.2063592440801,2365.2
919.4124138751047,2364.8
919.61842625735,2365.1
919.8243963852682,2365.5
920.0303242533117,2365.3
920.236209855933,2364.7
920.442053187584,2364.65
920.6478542427174,2364.9
920.8536130157851,2365.05
921.05932950124,2365.15
921.2650036935337,2365.05
921.4706355871193,2365.55
921.6762251764485,2365.65
921.8817724559738,2365.3
922.0872774201476,2365.7
922.2927400634222,2365.95
922.4981603802499,2365.75
922.7035383650831,2365.75
922.9088740123739,2365.8
923.1141673165747,2365.75
923.3194182721379,2365.2
923.5246268735157,2366.05
923.7297931151605,2366.1
923.9349169915248,2365.8
924.1399984970604,2365.75
924.34503762622,2365.65
924.550034373456,2365.9
924.7549887332204,2366.1
924.9599006999657,2365.9
