wavelength,Intensity
850.6908623729325,2353.3
850.9102326146937,2353.65
851.1295623940296,2353.65
851.3488517053927,2353.7
851.5681005432353,2353.45
851.78730890201,2353.4
852.0064767761686,2353.65
852.2256041601639,2353.7
852.444691048448,2353.25
852.6637374354731,2353.65
852.8827433156916,2352.7
853.1017086835559,2352.8
853.3206335335184,2353.2
853.5395178600311,2353.2
853.7583616575466,2352.95
853.9771649205171,2352.9
854.1959276433951,2352.95
854.4146498206326,2352.95
854.633331446682,2353.15
854.8519725159957,2353.3
855.070573023026,2353.5
855.2891329622253,2353.6
855.5076523280457,2354.05
855.7261311149398,2353.6
855.9445693173595,2353.7
856.1629669297577,2353.45
856.381323946586,2354.1
856.5996403622975,2354.0
856.8179161713439,2353.55
857.0361513681778,2354.35
857.2543459472515,2353.25
857.4724999030173,2353.8
857.6906132299274,2353.35
857.9086859224342,2353.75
858.12671797499,2353.05
858.3447093820472,2353.75
858.5626601380582,2353.25
858.7805702374749,2353.45
858.99843967475,2353.5
859.2162684443357,2353.65
859.4340565406842,2353.55
859.6518039582481,2354.05
859.8695106914795,2354.35
860.0871767348308,2353.7
860.3048020827541,2354.25
860.522386729702,2354.45
860.7399306701267,2354.8
860.9574338984806,2354.5
861.174896409216,2354.25
861.392318196785,2354.8
861.6096992556402,2354.15
861.8270395802336,2353.6
862.044339165018,2354.0
862.2615980044452,2353.8
862.4788160929679,2353.95
862.6959934250381,2353.25
862.9131299951083,2353.4
863.1302257976308,2353.9
863.347280827058,2353.4
863.564295077842,2354.05
863.7812685444353,2354.3
863.9982012212902,2354.05
864.2150931028589,2354.2
864.4319441835937,2354.05
864.648754457947,2354.3
864.8655239203714,2354.25
865.0822525653186,2354.4
865.2989403872415,2354.2
865.5155873805918,2354.45
865.7321935398227,2354.5
865.9487588593856,2354.2
866.1652833337333,2354.2
866.3817669573182,2354.55
866.5982097245922,2353.95
866.814611630008,2354.25
867.0309726680177,2354.5
867.2472928330737,2353.85
867.4635721196283,2354.4
867.679810522134,2354.35
867.8960080350428,2354.2
868.1121646528071,2354.45
868.3282803698794,2354.45
868.5443551807117,2354.65
868.7603890797567,2354.15
868.9763820614664,2354.85
869.1923341202934,2354.4
869.4082452506897,2354.6
869.6241154471078,2355.0
869.8399447039999,2354.9
870.0557330158185,2354.75
870.2714803770158,2354.45
870.4871867820442,2354.55
870.7028522253559,2355.4
870.9184767014032,2355.0
871.1340602046386,2354.9
871.3496027295141,2355.35
871.5651042704824,2354.6
871.7805648219955,2354.65
871.995984378506,2354.8
872.2113629344659,2355.1
872.4267004843277,2354.8
872.6419970225438,2354.5
872.8572525435663,2354.7
873.0724670418477,2354.55
873.2876405118402,2355.25
873.5027729479963,2354.45
873.7178643447679,2354.45
873.9329146966078,2354.7
874.147923997968,2355.95
874.3628922433008,2355.25
874.577819427059,2355.2
874.7927055436942,2355.45
875.0075505876592,2355.35
875.2223545534061,2355.25
875.4371174353876,2355.2
875.6518392280553,2354.65
875.8665199258622,2354.85
876.0811595232603,2354.85
876.295758014702,2354.7
876.5103153946396,2354.7
876.7248316575252,2354.95
876.9393067978114,2354.85
877.1537408099505,2355.15
877.3681336883948,2355.6
877.5824854275963,2355.75
877.7967960220078,2355.35
878.0110654660813,2355.85
878.2252937542693,2355.95
878.4394808810239,2355.45
878.6536268407976,2355.9
878.8677316280427,2355.6
879.0817952372114,2355.5
879.2958176627562,2355.65
879.5097988991292,2355.4
879.7237389407828,2355.7
879.9376377821694,2355.75
880.1514954177412,2355.8
880.3653118419506,2355.15
880.57908704925,2355.2
880.7928210340914,2355.4
881.0065137909274,2355.25
881.2201653142104,2355.5
881.4337755983922,2355.35
881.6473446379257,2355.55
881.8608724272628,2355.15
882.0743589608563,2355.75
882.287804233158,2355.7
882.5012082386204,2355.3
882.7145709716959,2356.15
882.9278924268368,2355.95
883.1411725984954,2356.05
883.3544114811239,2356.2
883.5676090691746,2355.95
883.7807653571002,2355.95
883.9938803393527,2356.05
884.2069540103843,2356.0
884.4199863646476,2356.0
884.6329773965946,2356.6
884.845927100678,2355.55
885.0588354713498,2356.25
885.2717025030626,2356.0
